,gene_name,gene_biotype,P14E1KO_1_1_count,P14E1KO_1_3_count,P14E2KO_1_1_count,P14E2KO_1_3_count,P14E1WT_2_2_count,P14E1WT_2_4_count,P14E1WT_2_5_count,P14E2WT_2_1_count,P14E2WT_2_5_count
X1700022H01Rik,1700022H01Rik,bidirectional_promoter_lncRNA,1,2,2,8,0,3,2,0,0
Adamts3,Adamts3,protein_coding,11,11,32,17,4,7,13,9,17
Pask,Pask,protein_coding,247,250,302,377,287,241,292,207,238
Sfxn1,Sfxn1,protein_coding,1142,836,1218,1492,1502,1210,1157,1300,1253
Zswim3,Zswim3,protein_coding,112,133,131,174,101,134,112,139,115
Pard3,Pard3,protein_coding,1249,1149,1469,1929,1279,1315,1375,1328,1008
Senp5,Senp5,protein_coding,797,551,866,967,1052,867,690,980,833
Gm36423,Gm36423,antisense,0,2,2,1,3,6,6,0,4
Kif21a,Kif21a,protein_coding,1439,997,1126,1915,1158,1192,1241,1297,1026
Gm12703,Gm12703,processed_transcript,0,3,0,7,0,2,1,0,0
Gm37047,Gm37047,TEC,3,1,0,1,0,0,0,0,0
Ensa,Ensa,protein_coding,1871,1414,2040,2368,1724,1747,1682,1879,1636
Tti2,Tti2,protein_coding,316,218,309,397,346,326,336,357,327
Cyp2c65,Cyp2c65,protein_coding,1320,2091,3576,2364,661,780,2541,2049,883
Plekhg1,Plekhg1,protein_coding,328,327,292,495,240,340,300,276,181
Prdx2,Prdx2,protein_coding,2985,2569,3159,3750,3459,3310,3198,3715,3308
Gm48768,Gm48768,bidirectional_promoter_lncRNA,68,61,119,83,47,47,89,81,51
Ffar2,Ffar2,protein_coding,417,290,485,382,539,540,568,347,367
Phf3,Phf3,protein_coding,1641,1227,1684,2159,1464,1491,1523,1614,1269
Gtf2ird1,Gtf2ird1,protein_coding,1783,1514,2071,2315,1920,1882,1663,1829,1519
Tnfsfm13,Tnfsfm13,protein_coding,40,30,31,35,26,25,25,33,14
Man2a1,Man2a1,protein_coding,1877,1487,1647,2230,2285,2149,2078,1740,1673
Rab5c,Rab5c,protein_coding,2914,2846,2904,3446,3879,3384,3172,3384,3295
Pinx1,Pinx1,protein_coding,249,120,240,174,317,226,213,219,246
Elovl7,Elovl7,protein_coding,1693,1518,1415,1986,2021,2192,1653,1783,1660
Prss21,Prss21,protein_coding,2,0,2,1,0,0,0,0,0
Macc1,Macc1,protein_coding,184,144,215,241,234,233,220,183,210
Ptgdr2,Ptgdr2,protein_coding,0,4,0,0,5,1,5,7,2
D330041H03Rik,D330041H03Rik,processed_transcript,26,26,40,59,28,30,39,28,26
Cdkn1b,Cdkn1b,protein_coding,1806,1536,2091,2262,1613,1572,2015,1718,1642
Ctsb,Ctsb,protein_coding,6461,6091,7502,9187,8493,7533,7342,8218,7876
Mir709,Mir709,miRNA,0,7,2,10,1,3,2,1,4
Tdpx.ps1,Tdpx-ps1,processed_pseudogene,3,0,1,0,1,2,8,2,4
Dazap1,Dazap1,protein_coding,2327,2000,2282,2818,3306,2415,2520,2434,2413
Hoxa13,Hoxa13,protein_coding,979,561,653,999,839,723,590,660,497
Rpap1,Rpap1,protein_coding,846,652,731,996,1061,933,900,778,802
X9330160F10Rik,9330160F10Rik,antisense,14,11,17,10,16,9,6,11,5
Ctnnbl1,Ctnnbl1,protein_coding,583,462,621,632,713,604,645,646,635
Gm3756,Gm3756,processed_pseudogene,94,86,82,105,168,114,126,110,113
Acsf3,Acsf3,protein_coding,687,524,686,771,742,691,733,720,685
Wdr54,Wdr54,protein_coding,41,51,62,82,48,32,43,57,17
Gm15559,Gm15559,antisense,4,7,7,11,13,10,9,19,15
Hsd17b10,Hsd17b10,protein_coding,973,750,1140,1411,892,733,994,1160,849
Gm48508,Gm48508,lincRNA,1,3,0,4,0,1,0,1,0
Calm3,Calm3,protein_coding,8029,7194,7544,10438,10081,8850,8278,9163,8641
Mir7059,Mir7059,miRNA,1,1,5,7,2,0,3,0,1
Podn,Podn,protein_coding,0,4,11,6,1,0,3,3,3
Best2,Best2,protein_coding,803,403,80,339,139,309,245,193,193
Mrpl17,Mrpl17,protein_coding,808,638,832,1019,1052,872,777,897,904
mt.Nd1,mt-Nd1,protein_coding,76799,66877,110610,87924,56157,57181,90517,75302,84037
Rhbdf1,Rhbdf1,protein_coding,1254,1028,1767,1996,1097,1142,1134,1889,992
Fndc10,Fndc10,protein_coding,48,51,101,103,58,50,76,56,63
Pomgnt2,Pomgnt2,protein_coding,269,143,228,217,212,170,160,233,98
Eif3j2,Eif3j2,protein_coding,39,17,53,334,44,60,47,57,49
Gm8894,Gm8894,processed_pseudogene,12,7,6,10,4,5,7,2,9
Ybx1.ps2,Ybx1-ps2,processed_pseudogene,15,15,18,20,25,20,25,25,21
Pcdhgc5,Pcdhgc5,protein_coding,15,8,17,21,19,24,21,18,23
Wasf2,Wasf2,protein_coding,3490,3227,3203,5117,4825,4274,4185,4009,3392
Ints1,Ints1,protein_coding,2023,1683,2040,2354,2812,2200,2246,2095,2066
Gm42903,Gm42903,lincRNA,1,1,0,0,1,4,1,3,3
Psmf1,Psmf1,protein_coding,663,606,707,742,918,778,683,682,772
H19,H19,lincRNA,0,0,0,0,0,2,0,0,10
Gm13436,Gm13436,processed_pseudogene,90,69,86,141,107,74,84,89,65
Cspg5,Cspg5,protein_coding,6,11,20,26,3,14,2,11,0
Bex1,Bex1,protein_coding,75,57,61,78,65,51,78,52,39
Mrm3,Mrm3,protein_coding,217,110,213,160,239,192,218,211,205
X1810010H24Rik,1810010H24Rik,protein_coding,33,26,38,30,17,22,15,9,38
Wnt2b,Wnt2b,protein_coding,10,1,4,7,5,9,14,11,10
Ramp1,Ramp1,protein_coding,741,351,477,427,345,520,395,439,312
Oprd1,Oprd1,protein_coding,13,9,36,26,8,15,15,24,10
BC107364,BC107364,protein_coding,0,1,0,1,0,2,6,4,0
Ckap5,Ckap5,protein_coding,1772,1544,1801,1951,2219,2035,2294,1656,1679
Sipa1l2,Sipa1l2,protein_coding,466,390,448,650,461,507,427,422,369
Gm15975,Gm15975,processed_pseudogene,11,7,5,6,3,4,3,6,3
Tnfrsf10b,Tnfrsf10b,protein_coding,1635,948,1766,2463,1448,1323,1395,1767,1057
R3hdm2,R3hdm2,protein_coding,1590,1431,1736,2308,1620,1630,1593,1799,1390
Clint1,Clint1,protein_coding,5909,5121,6774,8911,7488,6960,7107,7767,6371
Gm43335,Gm43335,TEC,4,7,6,1,2,1,1,3,0
Mrto4.ps1,Mrto4-ps1,processed_pseudogene,20,33,19,34,45,36,40,28,55
Nptx2,Nptx2,protein_coding,27,17,32,24,40,25,37,55,54
Gm5909,Gm5909,processed_pseudogene,4,0,6,3,1,1,1,2,0
D630023O14Rik,D630023O14Rik,TEC,1,10,19,16,3,4,5,5,7
Ahsa2,Ahsa2,protein_coding,297,225,296,303,240,269,223,296,246
Dis3l2,Dis3l2,protein_coding,361,284,343,479,411,373,416,417,391
Lipm,Lipm,protein_coding,0,2,0,1,4,0,3,0,12
Col18a1,Col18a1,protein_coding,38,28,31,45,28,25,26,25,33
Wbp11,Wbp11,protein_coding,1915,1406,1719,2021,2399,1949,1905,1821,1634
Aen,Aen,protein_coding,614,308,689,647,891,603,523,725,639
Pfkm,Pfkm,protein_coding,236,188,256,310,198,147,266,217,135
AC160637.1,AC160637.1,TEC,646,590,404,496,1024,866,592,365,643
Aox2,Aox2,protein_coding,11,14,10,11,3,5,9,5,0
Ttc8,Ttc8,protein_coding,8,6,15,24,12,25,26,18,15
Gps2,Gps2,protein_coding,951,700,974,1091,917,789,817,922,848
Polr1e,Polr1e,protein_coding,233,154,207,258,299,237,205,258,223
Hltf,Hltf,protein_coding,720,517,697,907,765,858,853,672,742
Atxn1,Atxn1,protein_coding,694,495,477,902,505,572,468,549,391
Rsph1,Rsph1,protein_coding,26,12,27,37,14,25,20,21,14
Il17rd,Il17rd,protein_coding,157,99,157,236,81,110,117,195,105
Pimreg,Pimreg,protein_coding,90,156,87,146,178,182,213,134,132
Sowahc,Sowahc,protein_coding,1287,952,817,1727,980,1057,961,1063,833
Banp,Banp,protein_coding,535,192,334,354,321,219,185,369,211
Fmo1,Fmo1,protein_coding,95,77,35,259,48,83,37,114,89
Synj1,Synj1,protein_coding,857,869,1020,1260,839,943,895,928,921
Clec12a,Clec12a,protein_coding,0,0,0,0,0,2,1,2,2
Washc3,Washc3,protein_coding,294,273,385,427,405,368,373,369,450
X1700019C18Rik,1700019C18Rik,lincRNA,0,0,2,0,2,0,4,2,3
Serpinb1c,Serpinb1c,protein_coding,9,2,5,3,0,1,2,5,1
Gm10030,Gm10030,processed_transcript,2,3,6,3,1,0,1,2,1
Ints4,Ints4,protein_coding,954,723,989,1037,1047,919,1037,1046,923
Zmym5,Zmym5,protein_coding,1024,885,1099,1343,798,1056,1028,982,911
Trim24,Trim24,protein_coding,1404,1025,1245,1745,1149,1242,1317,1208,1114
Gm32391,Gm32391,lincRNA,58,43,54,95,33,52,59,61,42
Bub3,Bub3,protein_coding,1245,989,1276,1334,1583,1220,1347,1258,1306
Pnck,Pnck,protein_coding,4,0,3,3,0,2,0,0,1
Kansl3,Kansl3,protein_coding,2266,1948,2443,3135,2047,2225,2348,2440,1780
Nr2f6,Nr2f6,protein_coding,1556,1146,1260,1808,1523,1310,1130,1366,1014
Cadps,Cadps,protein_coding,25,16,27,4,55,29,34,14,31
Gm43462,Gm43462,sense_intronic,15,8,6,18,6,7,8,3,4
Cideb,Cideb,protein_coding,155,147,194,170,133,115,130,160,164
Cxcl3,Cxcl3,protein_coding,11,5,0,30,16,15,5,8,68
Dnpep,Dnpep,protein_coding,1400,1377,1623,1809,1826,1794,1596,1808,1780
Gm10354,Gm10354,protein_coding,0,7,2,2,0,0,0,1,1
Casp9,Casp9,protein_coding,493,471,567,673,526,447,544,496,468
Nabp1,Nabp1,protein_coding,433,207,341,459,427,457,290,483,480
Spry3,Spry3,protein_coding,11,12,7,12,9,5,9,6,4
Gckr,Gckr,protein_coding,2,2,2,0,1,3,6,7,2
Gm49544,Gm49544,antisense,5,13,2,13,2,4,5,4,0
Proc,Proc,protein_coding,28,30,56,35,31,32,27,27,31
Hspb7,Hspb7,protein_coding,4,3,5,5,0,2,1,4,1
Mir7682,Mir7682,miRNA,10,11,9,1,3,3,4,6,1
Guca1a,Guca1a,protein_coding,11,34,15,38,32,36,34,52,37
Pltp,Pltp,protein_coding,7,5,27,11,4,3,13,4,3
Ap3s1.ps1,Ap3s1-ps1,processed_pseudogene,65,55,64,62,77,64,79,72,76
Ubiad1,Ubiad1,protein_coding,420,303,424,479,583,424,437,423,372
Dis3,Dis3,protein_coding,634,389,677,640,872,626,644,601,652
Gm10617,Gm10617,pseudogene,26,7,10,29,6,13,12,8,12
Tmem141,Tmem141,protein_coding,144,95,163,193,146,99,113,159,112
Rnf39,Rnf39,protein_coding,1297,629,879,1137,1013,816,699,774,636
Il1rap,Il1rap,protein_coding,154,140,130,210,129,119,140,158,143
Grid2ip,Grid2ip,protein_coding,0,2,0,1,1,3,6,0,4
Larp4b,Larp4b,protein_coding,3046,2619,3046,3706,3722,3563,3228,3194,2862
Cchcr1,Cchcr1,protein_coding,760,518,834,872,715,676,638,739,676
Ddit3,Ddit3,protein_coding,832,544,772,974,611,604,575,877,586
Gm26698,Gm26698,lincRNA,0,6,3,4,0,2,3,1,1
Gm13710,Gm13710,lincRNA,4,4,0,0,0,1,0,0,0
Vwa2,Vwa2,protein_coding,35,11,33,32,26,27,18,28,9
Mfsd9,Mfsd9,protein_coding,145,116,125,160,102,65,160,98,119
Ict1os,Ict1os,antisense,1,1,6,0,11,8,11,1,6
Stil,Stil,protein_coding,871,685,1095,930,1144,1134,1353,773,921
Edc3,Edc3,protein_coding,603,474,590,767,720,668,630,619,665
Sept5,Sept5,protein_coding,486,648,922,796,838,744,827,872,992
Bag1,Bag1,protein_coding,3118,2445,3273,3816,3858,3383,3043,3809,3792
Ppp1r2,Ppp1r2,protein_coding,1521,1141,1489,1744,1965,1497,1453,1571,1506
Dnajc15,Dnajc15,protein_coding,417,414,621,593,669,611,554,630,562
Cd2ap,Cd2ap,protein_coding,5585,5283,5727,7373,7184,7100,6425,5894,6153
Gm6363,Gm6363,processed_pseudogene,45,23,29,53,64,66,62,32,55
Grin3a,Grin3a,protein_coding,27,32,42,28,18,6,27,22,30
Snora31,Snora31,snoRNA,53,43,77,95,54,47,51,64,58
Ak1,Ak1,protein_coding,25,19,26,40,22,21,13,29,7
Efs,Efs,protein_coding,4,12,8,17,17,68,12,9,19
Ireb2,Ireb2,protein_coding,1765,1589,1932,2399,2194,2140,2286,1917,1860
Gemin8,Gemin8,protein_coding,63,56,70,80,78,82,81,78,70
Hspa4l,Hspa4l,protein_coding,1294,1080,1310,1520,1664,2042,1256,1497,1227
Thbs3,Thbs3,protein_coding,42,29,55,35,22,42,26,36,17
Gm34961,Gm34961,lincRNA,5,4,3,0,0,2,0,2,1
Gm20548,Gm20548,antisense,32,15,63,22,19,29,12,13,22
Prdx3,Prdx3,protein_coding,2047,1622,2367,2840,2628,2163,2494,2438,2199
Ndufb4,Ndufb4,protein_coding,942,834,1212,1314,1013,859,959,1161,930
Igsf8,Igsf8,protein_coding,971,813,984,1508,1185,840,910,993,853
Dcaf8,Dcaf8,protein_coding,2171,1714,2131,2963,1823,1935,2224,2089,1851
Jade2,Jade2,protein_coding,460,261,471,650,543,554,449,516,550
Ndufs4,Ndufs4,protein_coding,1047,1088,1308,1514,1536,1293,1431,1358,1369
Wdr75,Wdr75,protein_coding,791,427,718,754,919,708,638,800,706
Wisp3,Wisp3,protein_coding,6,7,0,6,7,6,22,7,5
AI837181,AI837181,protein_coding,589,469,575,788,529,542,513,595,519
Uckl1,Uckl1,protein_coding,1015,939,1397,1240,1006,1038,981,1044,1027
Lrrfip2,Lrrfip2,protein_coding,2018,1867,2422,2428,1810,1675,1925,2215,1914
Rexo5,Rexo5,protein_coding,211,215,227,226,164,202,221,195,166
Ebp,Ebp,protein_coding,1307,1144,1188,1670,1829,1394,1402,1521,1425
Apbb2,Apbb2,protein_coding,390,318,332,388,358,265,372,290,231
Gm41077,Gm41077,antisense,33,23,39,49,37,63,35,64,55
Ndufv3,Ndufv3,protein_coding,1682,1566,1870,2284,1571,1599,1788,1997,1566
Pnpla1,Pnpla1,protein_coding,64,30,55,157,47,60,38,68,50
Megf11,Megf11,protein_coding,13,15,2,21,32,22,31,9,25
Dancr,Dancr,processed_transcript,40,23,49,61,63,45,47,54,47
Ccdc155,Ccdc155,protein_coding,4,0,9,3,0,1,1,4,3
Plac8,Plac8,protein_coding,6325,8684,8850,7931,11668,9366,7881,9411,13823
Clec5a,Clec5a,protein_coding,0,0,0,0,2,1,0,0,6
Krt83,Krt83,protein_coding,68,12,20,51,11,9,11,43,22
Ecm1,Ecm1,protein_coding,46,43,72,53,103,63,48,83,88
A730081D07Rik,A730081D07Rik,antisense,0,2,2,0,1,5,2,2,5
Timm22,Timm22,protein_coding,441,399,484,589,595,498,495,529,513
Fabp1,Fabp1,protein_coding,6,3,14,13,15,10,7,18,54
Dqx1,Dqx1,protein_coding,1272,1307,1492,1614,999,1221,1491,1271,1277
Fbxw5,Fbxw5,protein_coding,1031,965,1111,1240,1080,1014,940,1011,947
Rnf113a2,Rnf113a2,protein_coding,332,246,327,395,321,233,296,294,233
H2.T24,H2-T24,protein_coding,24,18,33,32,32,47,37,31,42
Ccdc93,Ccdc93,protein_coding,1709,1624,1503,1959,2108,1998,1811,1800,1963
Polr2m,Polr2m,protein_coding,3199,2260,2570,3452,3821,2951,2954,3058,2778
Mcm4,Mcm4,protein_coding,1379,910,1420,1474,1870,1363,1576,1287,1416
Cntd1,Cntd1,protein_coding,40,25,40,68,27,29,34,25,17
Cops3,Cops3,protein_coding,751,663,923,1029,1047,832,1003,905,929
Akr1e1,Akr1e1,protein_coding,611,445,702,830,577,514,674,612,510
Ern1,Ern1,protein_coding,1232,919,999,1499,1333,1611,1185,1157,1241
Tmem130,Tmem130,protein_coding,4,3,0,4,4,10,5,7,3
Gm43890,Gm43890,TEC,10,6,12,10,12,15,9,13,18
Gm48699,Gm48699,TEC,0,0,0,0,0,1,2,1,3
Acoxl,Acoxl,protein_coding,2,5,3,5,1,2,3,0,0
Rnu73b,Rnu73b,snoRNA,6,7,6,16,14,17,11,20,15
Gm2420,Gm2420,transcribed_unprocessed_pseudogene,7,8,1,7,4,11,15,19,14
Atr,Atr,protein_coding,560,346,589,617,723,653,591,511,606
Gm45004,Gm45004,lincRNA,5,3,8,0,0,0,4,0,0
Sin3a,Sin3a,protein_coding,1291,1062,1339,1831,1223,1288,1355,1346,1037
Asxl1,Asxl1,protein_coding,1585,1328,1715,2340,1945,2038,1982,1824,1661
Antxr2,Antxr2,protein_coding,752,595,716,899,659,644,718,717,562
Cavin4,Cavin4,protein_coding,6,13,5,10,5,3,9,1,3
Agl,Agl,protein_coding,545,377,377,523,589,575,523,460,451
Gm45745,Gm45745,TEC,5,0,1,6,13,5,6,8,1
Pfdn6,Pfdn6,protein_coding,773,589,775,861,938,754,818,983,818
X9030407P20Rik,9030407P20Rik,processed_transcript,18,28,16,24,50,23,38,13,31
Gm26571,Gm26571,antisense,0,3,3,1,4,3,3,4,9
Bmp2k,Bmp2k,protein_coding,545,443,512,676,487,479,525,525,349
Sertad2,Sertad2,protein_coding,1271,1218,1138,1797,1257,1243,1210,1163,1011
Tyw5,Tyw5,protein_coding,122,98,152,134,179,159,116,127,147
Pclaf,Pclaf,protein_coding,1306,1196,1288,1186,2048,1345,2044,1058,1348
Hnrnpul1,Hnrnpul1,protein_coding,3525,2946,3314,4408,4560,3670,3914,3614,3390
Pak6,Pak6,protein_coding,191,122,248,258,395,213,191,223,257
Bicd1,Bicd1,protein_coding,208,174,198,257,291,266,215,229,183
Gm37674,Gm37674,TEC,0,2,0,6,5,5,2,8,3
Stard13,Stard13,protein_coding,611,492,617,740,573,530,620,530,447
Tff2,Tff2,protein_coding,0,0,10,2,0,2,0,0,0
X9330102E08Rik,9330102E08Rik,lincRNA,0,4,5,0,2,0,0,0,0
Tnfsf15,Tnfsf15,protein_coding,129,100,147,215,151,266,121,209,168
Gm37240,Gm37240,protein_coding,1,2,7,5,1,0,2,3,1
Apln,Apln,protein_coding,10,3,22,2,2,5,4,4,3
Selplg,Selplg,protein_coding,3,1,6,5,5,1,0,11,51
Nfam1,Nfam1,protein_coding,7,15,2,3,12,13,13,13,22
Popdc2,Popdc2,protein_coding,0,1,3,2,0,0,0,0,0
Hsd17b7,Hsd17b7,protein_coding,916,830,876,953,1240,1045,1045,806,985
Gm43588,Gm43588,TEC,0,0,0,3,2,1,3,9,0
Zdhhc7,Zdhhc7,protein_coding,1859,1280,1486,2045,2153,1710,1653,1890,1846
AC124681.2,AC124681.2,sense_intronic,0,2,1,4,3,4,3,6,4
Gm8399,Gm8399,processed_pseudogene,186,155,129,262,253,223,211,190,198
Btbd3,Btbd3,protein_coding,511,561,601,792,538,468,603,563,405
Nrg2,Nrg2,protein_coding,2,0,3,5,12,2,1,8,4
Habp4,Habp4,protein_coding,307,243,336,462,351,290,295,334,250
Trpv6,Trpv6,protein_coding,70,162,60,61,135,109,184,217,127
Cmtm6,Cmtm6,protein_coding,3353,2741,2975,4121,3817,3450,3375,3444,3296
Prkrip1,Prkrip1,protein_coding,375,258,391,397,500,362,371,431,339
Nxf1,Nxf1,protein_coding,3272,2282,3525,3330,2941,2631,2739,3140,2868
Slc2a4rg.ps,Slc2a4rg-ps,transcribed_unitary_pseudogene,127,104,158,167,109,123,135,158,85
Stat5b,Stat5b,protein_coding,666,555,761,886,637,600,700,709,504
Noc2l,Noc2l,protein_coding,1490,1017,1512,1652,2081,1527,1446,1767,1453
Btg1,Btg1,protein_coding,5256,4671,4809,7024,4322,4965,4842,4959,4543
Gm37123,Gm37123,TEC,13,17,27,24,20,28,26,36,37
Gm7879,Gm7879,protein_coding,26,48,41,57,79,50,51,55,65
Vmac,Vmac,protein_coding,342,201,249,372,229,250,293,249,212
Zfp422,Zfp422,protein_coding,682,445,594,828,582,560,567,594,467
Slc11a2,Slc11a2,protein_coding,913,759,916,1264,1250,1149,936,998,1063
Acer2,Acer2,protein_coding,281,198,293,301,356,307,280,305,250
Crem,Crem,protein_coding,294,159,205,323,151,182,145,267,182
Agmo,Agmo,protein_coding,140,81,109,211,72,81,100,152,103
Sms.ps,Sms-ps,processed_pseudogene,80,93,120,121,153,145,127,123,157
Plxnc1,Plxnc1,protein_coding,0,1,3,0,7,10,0,1,2
Haus8,Haus8,protein_coding,377,286,393,461,499,401,460,441,392
Capn15,Capn15,protein_coding,976,544,868,962,830,769,652,842,655
Tmco1,Tmco1,protein_coding,942,718,994,1256,1180,944,917,1105,1213
Echdc1,Echdc1,protein_coding,169,167,175,178,209,196,211,170,208
Hlf,Hlf,protein_coding,4,3,0,0,0,0,0,0,0
Emsy,Emsy,protein_coding,666,580,848,812,668,557,676,733,529
Bgn,Bgn,protein_coding,4,0,5,5,0,4,14,6,17
Mcee,Mcee,protein_coding,454,350,564,611,397,423,438,548,402
Zfp937,Zfp937,protein_coding,62,24,47,68,43,21,36,50,36
Gm11430,Gm11430,unprocessed_pseudogene,165,62,51,187,251,143,142,130,165
Spg20,Spg20,protein_coding,231,143,154,214,252,255,207,164,214
Gtf2i,Gtf2i,protein_coding,2319,1685,2340,3217,2129,2074,2265,2460,1871
Pxylp1,Pxylp1,protein_coding,1338,801,724,1238,828,769,861,777,532
Melk,Melk,protein_coding,920,662,767,829,1335,854,1127,667,831
Erich2,Erich2,protein_coding,3,4,7,3,6,6,10,14,15
Ehmt1,Ehmt1,protein_coding,1871,1137,1922,2124,1653,1499,1459,1705,1410
Fzd2,Fzd2,protein_coding,112,99,88,140,84,68,108,109,70
Tepp,Tepp,protein_coding,2,0,3,1,0,0,0,0,0
Ccdc77,Ccdc77,protein_coding,272,266,237,333,355,373,378,266,300
Gm42460,Gm42460,TEC,10,2,6,5,3,2,3,3,2
Kdelr1,Kdelr1,protein_coding,2470,1750,2222,3109,3004,2402,2394,2590,2443
Zfp446,Zfp446,protein_coding,110,85,96,163,187,138,128,116,118
Opa1,Opa1,protein_coding,2304,1897,2217,2680,2764,2417,2636,2275,2142
Gm27010,Gm27010,lincRNA,5,4,8,5,13,4,6,13,11
Ago1,Ago1,protein_coding,1068,701,1028,1410,975,968,974,987,819
Gm11221,Gm11221,processed_pseudogene,39,32,27,32,32,27,20,27,26
Mtr,Mtr,protein_coding,284,179,312,333,387,283,282,282,358
Rgs19,Rgs19,protein_coding,100,38,92,102,129,121,74,73,113
Lamc2,Lamc2,protein_coding,787,643,820,1230,1036,1088,715,842,1179
Elf4,Elf4,protein_coding,1953,1753,2086,2544,1991,1925,1742,1958,1569
Vmn2r.ps126,Vmn2r-ps126,unprocessed_pseudogene,9,10,13,14,4,8,5,10,3
Prkar1a,Prkar1a,protein_coding,2611,1878,2396,2920,2868,2488,2438,2631,2415
Mmp8,Mmp8,protein_coding,0,0,0,0,1,0,0,0,11
Dlg1,Dlg1,protein_coding,1761,1294,1658,2282,2040,2091,1801,1793,1776
Rnasel,Rnasel,protein_coding,6107,6693,7088,7600,8544,8348,7825,6898,7742
Gm20342,Gm20342,lincRNA,21,17,40,44,28,14,27,20,26
Gm12631,Gm12631,antisense,0,0,0,0,1,2,3,2,0
Kif18a,Kif18a,protein_coding,219,184,240,229,302,313,331,171,241
Rpl36al,Rpl36al,protein_coding,28,16,18,22,43,15,31,26,38
Coq8b,Coq8b,protein_coding,368,332,442,510,385,342,322,391,351
X4930447N08Rik,4930447N08Rik,processed_transcript,4,13,12,11,9,8,1,9,3
X1110046J04Rik,1110046J04Rik,antisense,8,3,2,4,0,1,2,2,0
Ppp1r3c,Ppp1r3c,protein_coding,5,1,3,10,1,0,1,3,0
Vps4b,Vps4b,protein_coding,2661,2192,2672,3149,2944,2806,2874,2613,2917
Cdc123,Cdc123,protein_coding,1267,936,1143,1372,1517,1216,1314,1243,1220
Tinf2,Tinf2,protein_coding,642,487,651,779,866,724,671,639,684
Gm38804,Gm38804,antisense,1,1,0,7,0,1,1,0,0
Clptm1,Clptm1,protein_coding,3999,3676,3944,5002,4249,3706,3827,4012,3394
Zfp358,Zfp358,protein_coding,181,173,231,398,181,149,220,259,177
Gm34006,Gm34006,antisense,3,0,6,5,0,0,1,3,3
Chmp1b,Chmp1b,protein_coding,1488,1660,1997,2101,1691,1562,1617,1545,1611
Azi2,Azi2,protein_coding,2223,1662,2301,2516,2513,2380,2237,2180,2216
Mark2,Mark2,protein_coding,3972,3295,3965,4536,4946,4158,3847,4303,3962
A430072P03Rik,A430072P03Rik,processed_transcript,0,0,0,0,1,1,1,1,2
Tjp3,Tjp3,protein_coding,9822,7238,9360,11149,9000,8490,8494,9814,8545
Gp5,Gp5,protein_coding,4,2,1,9,1,2,1,1,2
Nfya,Nfya,protein_coding,1217,835,1170,1236,1237,994,911,1048,748
Gm17018,Gm17018,protein_coding,251,224,291,362,345,319,264,324,367
Sh3bp4,Sh3bp4,protein_coding,649,586,826,997,905,853,728,902,735
Xaf1,Xaf1,protein_coding,66,130,103,141,192,182,126,115,207
Gm17655,Gm17655,protein_coding,36,27,26,44,31,23,20,19,21
Tmem38a,Tmem38a,protein_coding,61,59,82,93,32,58,75,73,33
Stard5,Stard5,protein_coding,1049,1098,1311,1325,1144,950,1146,1052,997
Psenen,Psenen,protein_coding,964,938,1133,1379,1000,872,899,1241,974
Gm20125,Gm20125,processed_transcript,1,1,4,2,4,5,1,3,8
Amd2,Amd2,protein_coding,25,22,30,37,36,19,20,83,45
Ces3a,Ces3a,protein_coding,1,0,0,5,0,0,0,1,0
Dgkd,Dgkd,protein_coding,2554,2055,2489,3098,2405,2304,2533,2306,2154
X4930546K05Rik,4930546K05Rik,lincRNA,0,4,0,4,8,3,3,4,6
Tmem63a,Tmem63a,protein_coding,3617,2966,3556,4846,3625,3599,3279,3745,2943
Dnajc21,Dnajc21,protein_coding,861,634,737,989,995,836,804,870,852
Gm36172,Gm36172,bidirectional_promoter_lncRNA,2,0,0,0,3,6,5,0,2
Tbc1d17,Tbc1d17,protein_coding,726,578,745,988,597,678,748,758,615
Mdn1,Mdn1,protein_coding,665,353,718,689,814,741,594,918,587
X2510016D11Rik,2510016D11Rik,TEC,33,48,60,54,42,44,30,37,39
Coil,Coil,protein_coding,231,158,189,213,230,218,220,220,208
X4921531C22Rik,4921531C22Rik,processed_transcript,76,61,75,98,54,52,41,74,62
Frg2f1,Frg2f1,protein_coding,69,77,71,82,60,39,63,37,60
Gm17103,Gm17103,antisense,3,4,6,0,0,1,1,1,0
Gm8162,Gm8162,processed_pseudogene,45,43,40,32,29,36,23,25,34
Col6a3,Col6a3,protein_coding,1,0,0,0,4,0,11,0,0
Gm10479,Gm10479,lincRNA,0,1,2,1,2,3,0,0,15
Kpna3,Kpna3,protein_coding,1134,716,1109,1251,1263,1220,1027,1091,1074
Gm15201,Gm15201,processed_transcript,3,0,5,2,0,0,0,2,0
Gm46349,Gm46349,lincRNA,0,0,1,2,2,2,4,4,5
Il33,Il33,protein_coding,48,14,10,87,109,47,12,44,137
Chchd1,Chchd1,protein_coding,387,316,554,556,583,487,547,491,538
Ppil3,Ppil3,protein_coding,133,90,161,191,241,164,148,176,179
Gm37486,Gm37486,processed_pseudogene,23,18,16,19,12,7,12,16,8
Mknk1,Mknk1,protein_coding,410,357,348,557,432,357,377,359,315
Zrsr2,Zrsr2,protein_coding,617,462,594,881,818,761,596,718,633
Prrc2c,Prrc2c,protein_coding,3909,3337,4401,6177,5204,5261,4604,4837,3955
Gm20712,Gm20712,sense_overlapping,15,2,13,16,14,17,16,19,13
